time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-17T23:48:41.404Z,37.8901,142.0877,60.307,4.4,mb,30,134,3.002,0.7,us,us6000ivik,2022-11-07T05:42:08.040Z,"90 km SE of Ishinomaki, Japan",earthquake,7.78,8.26,0.17,10,reviewed,us,us
2022-10-13T22:30:53.913Z,37.8087,142.0349,45.157,4.6,mb,28,126,3.07,0.67,us,us6000iuvf,2022-11-05T21:12:57.040Z,"93 km SE of Ishinomaki, Japan",earthquake,9.18,8.414,0.193,8,reviewed,us,us
2022-10-11T14:49:34.398Z,38.3815,142.2716,56.699,4.4,mb,17,149,2.579,0.49,us,us6000iuch,2022-10-17T21:19:21.040Z,"84 km E of Ishinomaki, Japan",earthquake,6.59,9.663,0.219,6,reviewed,us,us
2022-10-05T19:04:11.936Z,38.7587,141.9998,64.868,4.8,mb,77,93,2.152,0.58,us,us6000ir61,2022-10-12T17:35:09.067Z,"42 km SE of ?funato, Japan",earthquake,7.65,6.002,0.069,65,reviewed,us,us
2022-10-02T23:51:41.384Z,37.9259,142.794,30.586,4.1,mb,18,144,3.158,0.26,us,us6000iruc,2022-10-08T22:31:41.040Z,"141 km ESE of Ishinomaki, Japan",earthquake,9.81,6.337,0.262,4,reviewed,us,us
2022-10-02T22:45:34.555Z,38.4815,142.4702,35,4.5,mb,32,137,2.548,1.48,us,us6000iqan,2022-10-11T21:13:04.040Z,"92 km SE of ?funato, Japan",earthquake,7.5,1.93,0.156,12,reviewed,us,us
2022-09-18T18:12:06.000Z,38.3475,142.2681,48.539,4.6,mb,31,100,2.61,0.45,us,us7000i948,2022-10-31T13:13:03.040Z,"84 km E of Ishinomaki, Japan",earthquake,8.31,8.415,0.152,13,reviewed,us,us
2022-08-31T17:47:51.342Z,38.009,142.0463,59.639,4.2,mb,25,165,2.879,0.77,us,us7000i432,2022-11-06T04:36:50.040Z,"79 km SE of Ishinomaki, Japan",earthquake,9.65,10.798,0.216,6,reviewed,us,us
2022-08-23T13:53:41.411Z,38.7163,142.4965,39.336,4.4,mb,40,134,2.346,0.41,us,us6000id0q,2022-11-01T15:13:02.040Z,"78 km ESE of ?funato, Japan",earthquake,8.84,7.774,0.127,19,reviewed,us,us
2022-08-12T00:48:01.467Z,38.4727,142.0863,45.348,4.4,mb,49,135,2.445,0.6,us,us6000ia30,2022-10-21T23:20:44.040Z,"68 km E of Ishinomaki, Japan",earthquake,9.01,7.672,0.114,22,reviewed,us,us
2022-07-05T20:10:25.994Z,38.4394,142.0322,73.636,5.3,mww,250,24,2.463,0.78,us,us6000i03g,2022-09-13T06:22:45.040Z,"63 km E of Ishinomaki, Japan",earthquake,6.2,4.203,0.061,26,reviewed,us,us
2022-06-27T20:03:04.100Z,38.5364,142.1554,45.77,4.9,mb,93,121,2.402,0.65,us,us7000hknv,2022-09-03T21:03:43.040Z,"70 km SSE of ?funato, Japan",earthquake,3.5,6,0.037,227,reviewed,us,us
2022-06-14T16:33:46.745Z,38.5301,142.022,59.23,4.4,mb,75,135,2.374,0.65,us,us7000hhdw,2022-08-21T00:17:16.040Z,"64 km E of Ishinomaki, Japan",earthquake,8.6,7.6,0.064,74,reviewed,us,us
2022-06-08T17:26:54.619Z,38.5617,141.9149,56.51,4.7,mb,106,117,2.319,0.93,us,us7000hfyp,2022-08-13T21:52:01.040Z,"56 km ENE of Ishinomaki, Japan",earthquake,7.6,5.5,0.052,110,reviewed,us,us
2022-06-01T15:40:27.014Z,37.9211,141.9353,43.89,4.4,mb,22,115,2.943,0.72,us,us7000hfc0,2022-08-06T22:13:28.040Z,"78 km SE of Ishinomaki, Japan",earthquake,5.2,8.4,0.203,7,reviewed,us,us
2022-05-20T09:12:17.447Z,37.8636,142.0749,35,4.4,mb,16,165,3.025,0.62,us,us7000hcp1,2022-07-24T02:40:34.040Z,"91 km SE of Ishinomaki, Japan",earthquake,8.2,2,0.268,4,reviewed,us,us
2022-05-17T13:53:52.934Z,37.9367,142.0182,47.63,4.4,mb,44,129,2.943,0.72,us,us6000hnbr,2022-07-24T02:39:30.040Z,"82 km SE of Ishinomaki, Japan",earthquake,8.3,7.3,0.127,20,reviewed,us,us
2022-05-11T05:27:39.573Z,38.6028,142.344,41.6,4.6,mb,63,122,2.396,0.92,us,us7000h8ip,2022-08-09T06:42:18.926Z,"78 km SE of Ofunato, Japan",earthquake,7.4,6.4,0.066,68,reviewed,us,us
2022-05-08T18:36:07.935Z,38.6756,141.9698,56.97,4.4,mb,33,137,2.223,0.71,us,us7000h7z6,2022-07-22T18:31:07.040Z,"49 km SSE of ?funato, Japan",earthquake,8.9,4.9,0.117,21,reviewed,us,us
2022-05-03T13:04:28.150Z,37.8841,141.9631,53.46,4.3,mb,15,155,2.983,0.83,us,us7000h8df,2022-07-09T21:39:54.040Z,"82 km SE of Ishinomaki, Japan",earthquake,8.6,9.9,0.238,5,reviewed,us,us
